sample_date,location,latitude,longitude,sample_depth_m,karenia_brevis_cells_per_liter,abundance_category
2018-06-06,Philippe Creek; N of (Roberts Bay; Sarasota),27.28119,-82.54489,0.5,11000.0,Low
2018-06-06,Edwards Island; W of (Roberts Bay; Sarasota),27.2972,-82.54781,0.5,59000.0,Low
2018-06-06,Bay Island Park; N of (Sarasota Bay),27.31186,-82.54505,0.5,94000.0,Low
2018-06-06,Bay Island; N of (Sarasota Bay),27.31206,-82.55169,0.5,173000.0,Medium
2018-06-06,Island Park; SW of (Sarasota Bay),27.32388,-82.54816,0.5,44000.0,Low
2018-06-06,Bird Key; E of (Sarasota Bay),27.32441,-82.55596,0.5,49000.0,Low
2018-06-06,St. Armands Key; N of (Sarasota Bay),27.3252,-82.58018,0.5,38000.0,Low
2018-06-06,Bay Dock (Sarasota Bay),27.3316,-82.5779,0.5,18000.0,Low
2018-06-06,Causeway Park; W of (Sarasota Bay),27.33358,-82.55878,0.5,11000.0,Low
2018-06-06,New Pass Dock (Sarasota Bay),27.33375,-82.57938,0.5,47000.0,Low
2018-06-06,City Island; NE of (Sarasota Bay),27.33852,-82.56789,0.5,112000.0,Medium
2018-06-06,City Island; NE of (Sarasota Bay),27.33852,-82.56789,0.5,120000.0,Medium
2018-06-06,Centennial Park; NW of (Sarasota Bay),27.35302,-82.56599,0.5,32000.0,Low
2018-06-06,City Island; N of (Sarasota Bay),27.35884,-82.57789,0.5,6000.0,Very low
2018-06-06,Longboat Key; E of (Sarasota Bay),27.3629,-82.5977,0.5,15000.0,Low
2018-06-06,Indian Beach; W of (Sarasota Bay),27.37031,-82.56841,0.5,0.0,Not present/background
2018-06-06,Bishops Point; E of (Sarasota Bay),27.3747,-82.6049,0.5,5000.0,Very low
2018-06-06,Stephens Point; W of (Sarasota Bay),27.37682,-82.57575,0.5,1000.0,Not present/background
2018-06-06,Mid-Sarasota Bay,27.37815,-82.58418,0.5,0.0,Not present/background
2018-06-06,Bishops Point; NE of (Sarasota Bay),27.3843,-82.6088,0.5,4000.0,Very low
2018-06-06,Weedon Island; E of (Old Tampa Bay),27.86111,-82.58911,0.5,0.0,Not present/background
